run_id,started_at_utc,run_order,model,backend,prompt_size,rep,ambient_temp_c,start_cpu_temp_c,start_gpu_temp_c,idle_cooldown_s,warmup_completed,valid_power_samples,ttft_s,tps,max_cpu_temp,max_gpu_temp,delta_cpu_temp_c,delta_gpu_temp_c,dram_delta_mb,sys_energy_per_token_j,total_latency_s
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:16:49.960697+00:00,18,Llama-3.2-3B,gpu,medium,3,N/A,54.87500762939453,51.0,15,True,64,2.966388000000734,32.7,70.87500762939453,58.0,16.0,7.0,2218.33203125,2.1916298410704433,6.393439199999193
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:17:16.476356+00:00,19,Llama-3.2-3B,gpu,medium,2,N/A,52.75000762939453,49.0,15,False,64,2.981839200001559,32.8,69.25000762939453,58.0,16.5,9.0,2181.03125,2.0570086507530063,6.415616100000989
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:17:45.598301+00:00,20,Phi-3-mini-4k-instruct,gpu,long,3,N/A,52.00000762939453,48.0,15,True,211,12.887167500000942,11.8,69.25000762939453,59.0,17.25,11.0,4249.28515625,5.9089833073911855,21.754481300000407
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:18:29.918027+00:00,21,Phi-3-mini-4k-instruct,hybrid,long,1,N/A,52.75000762939453,49.0,15,True,33,7.803730999999971,25.023405642466763,55.87500762939453,61.0,3.125,12.0,15.93359375,1.9787535007273453,11.799989600000117
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:19:04.490727+00:00,22,Phi-3-mini-4k-instruct,gpu,long,2,N/A,53.00000762939453,49.0,15,True,213,12.859695000001011,11.8,70.37500762939453,60.0,17.375,11.0,4222.81640625,5.8030613053788445,21.826495200000863
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:19:54.893500+00:00,23,Phi-3-mini-4k-instruct,npu,long,1,N/A,52.75000762939453,50.0,15,True,40,18.161032400001204,11.852103151558296,58.12500762939453,59.0,5.375,9.0,328.6640625,2.564945614399505,26.598353499999575
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:20:46.119085+00:00,24,Phi-3-mini-4k-instruct,hybrid,long,2,N/A,52.00000762939453,48.0,15,True,31,8.488826299999346,24.16016955413797,55.00000762939453,52.0,3.0,4.0,32.9921875,2.2404243536773403,12.6278700999992
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:21:27.073131+00:00,25,Phi-3-mini-4k-instruct,npu,medium,2,N/A,52.00000762939453,49.0,15,True,39,1.1722272000006342,15.007254506829053,56.00000762939453,58.0,4.0,9.0,87.85546875,2.6807547784614583,7.835671200000434
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:22:03.360407+00:00,26,Llama-3.2-3B,hybrid,short,2,N/A,50.87500762939453,48.0,15,True,32,0.29789940000046045,24.00158967328613,53.75000762939453,52.0,2.875,4.0,48.78125,1.6066644136875743,4.464290100000653
80e67f10-e83d-45f6-8a5b-5426ed5ea692,2026-07-16T18:22:27.574569+00:00,27,Llama-3.2-3B,hybrid,long,3,N/A,49.87500762939453,47.0,15,False,44,3.940194500000871,19.222533853674623,54.75000762939453,55.0,4.875,8.0,211.80859375,2.1802063779994056,9.142422299999453
